class_pair,total_pairs,pairs_with_chunks,pairs_without_chunks,zero_pair_keys
Pharmaceutical Class | Recreational Stimulant,18,8,10,antihypertensives|cocaine;benzodiazepines|cocaine;beta_blockers_ccb|cocaine;calcium_channel_blockers|cocaine;clonidine_guanfacine|cocaine;clonidine|cocaine;cocaine|guanfacine;cocaine|lamotrigine;cocaine|snri;cocaine|tricyclic_ad
Ceremonial Or Recreational | Pharmaceutical Class,18,9,9,antihypertensives|cannabis;atypical_ad|cannabis;beta_blockers_ccb|cannabis;calcium_channel_blockers|cannabis;cannabis|clonidine;cannabis|clonidine_guanfacine;cannabis|guanfacine;cannabis|lamotrigine;cannabis|snri
Ceremonial Psychedelic | Pharmaceutical,9,0,9,ayahuasca|methylphenidate;five_meo_dmt|methylphenidate;iboga|methylphenidate;lsd|methylphenidate;mescaline_peyote|methylphenidate;methylphenidate|nn_dmt;methylphenidate|psilocybin;methylphenidate|salvia;methylphenidate|yopo
Non Ceremonial | Pharmaceutical Class,18,9,9,alcohol|antihypertensives;alcohol|atypical_ad;alcohol|beta_blockers_ccb;alcohol|calcium_channel_blockers;alcohol|clonidine;alcohol|clonidine_guanfacine;alcohol|guanfacine;alcohol|lamotrigine;alcohol|tricyclic_ad
Pharmaceutical Class | Pharmaceutical Or Recreational,18,9,9,amphetamine_stims|antihypertensives;amphetamine_stims|atypical_ad;amphetamine_stims|beta_blockers_ccb;amphetamine_stims|calcium_channel_blockers;amphetamine_stims|clonidine;amphetamine_stims|clonidine_guanfacine;amphetamine_stims|guanfacine;amphetamine_stims|lamotrigine;amphetamine_stims|tricyclic_ad
Ceremonial Psychedelic | Pharmaceutical Or Clinical Psychedelic,9,2,7,ayahuasca|ketamine;five_meo_dmt|ketamine;iboga|ketamine;ketamine|lsd;ketamine|mescaline_peyote;ketamine|nn_dmt;ketamine|yopo
Deliriant | Recreational Serotonergic,8,2,6,belladonna|dox;belladonna|nbome_series;belladonna|two_c_x;brugmansia|dox;brugmansia|nbome_series;brugmansia|two_c_x
Pharmaceutical Class | Pharmaceutical Or Clinical Psychedelic,18,12,6,antihypertensives|ketamine;beta_blockers_ccb|ketamine;calcium_channel_blockers|ketamine;clonidine_guanfacine|ketamine;clonidine|ketamine;guanfacine|ketamine
Recreational Serotonergic | Recreational Serotonergic,10,4,6,dox|dox;mdma|mdma;mdma|nbome_series;mdma|two_c_x;nbome_series|nbome_series;two_c_x|two_c_x
Ceremonial Adjunct | Recreational Serotonergic,8,3,5,dox|kambo;kambo|nbome_series;kambo|two_c_x;nbome_series|tobacco_rape;tobacco_rape|two_c_x
